"Asset ID","Address","City","State","ZIP","Property Type","Beds","Baths","Square Feet","Occupancy","Condition","Reference Value","Loan Balance","Repair Estimate","Annual Taxes","HOA Monthly","Title Status","7% Allocation","Notes"
"REO-0136","1945 Sample Oak Drive (sample)","Columbus","OH","43215","Duplex","5","1","3485","Tenant occupied","Good","400000","368000","3000","5600","0","Review required","28000","Fictional REO example; not an actual bank asset or valuation."
"REO-0137","1952 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","2","2","3568","Vacant","Fair","399000","406980","18000","5586","145","Review required","27930","Fictional REO example; not an actual bank asset or valuation."
"REO-0138","1959 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","3","3","3651","Vacant","Poor","398000","445760","52000","5572","0","Review required","27860","Fictional REO example; not an actual bank asset or valuation."
"REO-0139","1966 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","4","1","3734","Tenant occupied","Good","397000","246140","6000","5558","0","Review required","27790","Fictional REO example; not an actual bank asset or valuation."
"REO-0140","1973 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","5","2","3817","Vacant","Major rehabilitation","396000","285120","110000","5544","0","Review required","27720","Fictional REO example; not an actual bank asset or valuation."
"REO-0141","1980 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","2","3","1000","Vacant","Good","395000","323900","3000","5530","145","Title exception — review","27650","Fictional REO example; not an actual bank asset or valuation."
"REO-0142","1987 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","3","1","1083","Tenant occupied","Fair","394000","362480","18000","5516","0","Review required","27580","Fictional REO example; not an actual bank asset or valuation."
"REO-0143","1994 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","2","1166","Vacant","Poor","393000","400860","52000","5502","0","Review required","27510","Fictional REO example; not an actual bank asset or valuation."
"REO-0144","2001 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","5","3","1249","Vacant","Good","392000","439040","6000","5488","0","Review required","27440","Fictional REO example; not an actual bank asset or valuation."
"REO-0145","2008 Model Pine Drive (sample)","Atlanta","GA","30303","Duplex","2","1","1332","Tenant occupied","Major rehabilitation","391000","242420","110000","5474","145","Review required","27370","Fictional REO example; not an actual bank asset or valuation."
"REO-0146","2015 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","3","2","1415","Vacant","Good","390000","280800","3000","5460","0","Review required","27300","Fictional REO example; not an actual bank asset or valuation."
"REO-0147","2022 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","4","3","1498","Vacant","Fair","389000","318980","18000","5446","0","Review required","27230","Fictional REO example; not an actual bank asset or valuation."
"REO-0148","2029 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","5","1","1581","Tenant occupied","Poor","388000","356960","52000","5432","0","Title exception — review","27160","Fictional REO example; not an actual bank asset or valuation."
"REO-0149","2036 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","2","2","1664","Vacant","Good","387000","394740","6000","5418","145","Review required","27090","Fictional REO example; not an actual bank asset or valuation."
"REO-0150","2043 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","3","3","1747","Vacant","Major rehabilitation","386000","432320","110000","5404","0","Review required","27020","Fictional REO example; not an actual bank asset or valuation."
